SCLK,LMST,LTST,LOCAL_RELATIVE_HUMIDITY,LOCAL_RELATIVE_HUMIDITY_UNCERTAINTY,HUMIDITY_LOCAL_TEMP,HUMIDITY_LOCAL_TEMP_UNCERTAINTY,VOLUME_MIXING_RATIO,VOLUME_MIXING_RATIO_UNCERTAINTY
667042498,00001M16:06:04.406,0001 15:28:34,,,274.22,,,
667042499,00001M16:06:05.379,0001 15:28:35,,,274.30,,,
667042500,00001M16:06:06.353,0001 15:28:36,,,274.30,,,
667042501,00001M16:06:07.326,0001 15:28:37,,,274.21,,,
667042502,00001M16:06:08.299,0001 15:28:38,,,274.22,,,
667042503,00001M16:06:09.272,0001 15:28:39,,,274.25,,,
667042504,00001M16:06:10.246,0001 15:28:40,,,274.27,,,
667042505,00001M16:06:11.219,0001 15:28:41,,,274.23,,,
667042506,00001M16:06:12.192,0001 15:28:42,,,274.25,,,
667042507,00001M16:06:13.165,0001 15:28:43,,,274.20,,,
667042508,00001M16:06:14.139,0001 15:28:44,,,274.30,,,
667042509,00001M16:06:15.112,0001 15:28:45,,,274.31,,,
667042510,00001M16:06:16.085,0001 15:28:46,,,274.32,,,
667042511,00001M16:06:17.058,0001 15:28:47,,,274.27,,,
667042512,00001M16:06:18.032,0001 15:28:48,,,274.23,,,
667042513,00001M16:06:19.005,0001 15:28:49,,,274.27,,,
667042514,00001M16:06:19.978,0001 15:28:50,,,274.31,,,
667042515,00001M16:06:20.951,0001 15:28:51,,,274.33,,,
667042516,00001M16:06:21.925,0001 15:28:52,,,274.30,,,
667042517,00001M16:06:22.898,0001 15:28:53,,,274.28,,,
667042518,00001M16:06:23.871,0001 15:28:54,,,274.27,,,
667042519,00001M16:06:24.844,0001 15:28:55,,,274.33,,,
667042520,00001M16:06:25.818,0001 15:28:55,,,274.32,,,
667042521,00001M16:06:26.791,0001 15:28:56,,,274.28,,,
667042522,00001M16:06:27.764,0001 15:28:57,,,274.30,,,
667042523,00001M16:06:28.737,0001 15:28:58,,,274.34,,,
667042524,00001M16:06:29.711,0001 15:28:59,,,274.28,,,
667042525,00001M16:06:30.684,0001 15:29:00,,,274.33,,,
667042526,00001M16:06:31.657,0001 15:29:01,,,274.32,,,
667042527,00001M16:06:32.630,0001 15:29:02,,,274.37,,,
667042528,00001M16:06:33.604,0001 15:29:03,,,274.30,,,
667042529,00001M16:06:34.577,0001 15:29:04,,,274.31,,,
667042530,00001M16:06:35.550,0001 15:29:05,,,274.32,,,
667042531,00001M16:06:36.523,0001 15:29:06,,,274.27,,,
667042532,00001M16:06:37.497,0001 15:29:07,,,274.30,,,
667042533,00001M16:06:38.470,0001 15:29:08,,,274.32,,,
667042534,00001M16:06:39.443,0001 15:29:09,,,274.33,,,
667042535,00001M16:06:40.416,0001 15:29:10,,,274.31,,,
667042536,00001M16:06:41.390,0001 15:29:11,,,274.35,,,
667042537,00001M16:06:42.363,0001 15:29:12,,,274.32,,,
667042538,00001M16:06:43.336,0001 15:29:13,,,274.33,,,
667042539,00001M16:06:44.309,0001 15:29:14,,,274.32,,,
667042540,00001M16:06:45.283,0001 15:29:15,,,274.34,,,
667042541,00001M16:06:46.256,0001 15:29:16,,,274.31,,,
667042542,00001M16:06:47.229,0001 15:29:17,,,274.40,,,
667042543,00001M16:06:48.202,0001 15:29:18,,,274.36,,,
667042544,00001M16:06:49.176,0001 15:29:19,,,274.32,,,
667042545,00001M16:06:50.149,0001 15:29:20,,,274.37,,,
667042546,00001M16:06:51.122,0001 15:29:21,,,274.35,,,
667042547,00001M16:06:52.095,0001 15:29:22,,,274.33,,,
667042548,00001M16:06:53.069,0001 15:29:23,,,274.33,,,
667042549,00001M16:06:54.042,0001 15:29:24,,,274.37,,,
667042550,00001M16:06:55.015,0001 15:29:25,,,274.41,,,
667042551,00001M16:06:55.988,0001 15:29:26,,,274.40,,,
667042552,00001M16:06:56.962,0001 15:29:27,,,274.32,,,
667042553,00001M16:06:57.935,0001 15:29:28,,,274.37,,,
